study,Intervention_effected,Intervention_total,Placebo_effected,Placebo_total,subgroup,moderator1,moderator2
1,22,54,21,55,Mild,4.2,High
2,17,45,9,43,Severe,6.1,Low
3,35,53,12,55,Mild,3.8,Medium
4,23,37,15,35,Severe,5.5,High
5,24,49,16,49,Mild,4.0,Low
6,4,20,11,26,Severe,7.2,High
7,45,80,12,79,Mild,3.5,Medium
8,26,98,19,102,Severe,6.8,Low
9,41,70,4,70,Mild,2.9,High
10,64,109,48,109,Severe,5.9,Medium
11,71,131,51,130,Mild,3.2,Low
12,46,113,56,116,Severe,6.5,High
13,159,243,26,81,Mild,4.1,Medium
14,98,186,80,189,Severe,7.0,Low
15,55,123,57,124,Mild,3.7,High
16,67,106,22,47,Severe,6.3,Medium
17,46,70,34,70,Mild,4.5,Low
18,34,48,25,49,Severe,5.8,High 